recipe_id,raw_material_id,raw_material_ratio,flavour_id,flavour_ratio,ingredient_id,ingredient_ratio,heat_process,yield,generation_date,batch_number
IA8K,68,0.46,55,0.29,269,0.25,,92.3,7/5/24,1
Y6HR,147,0.64,484,0.02,229,0.34,Steaming,93.19,7/5/24,1
2Y7V,132,0.15,218,0.84,202,0.01,,99.65,7/5/24,1
9LWD,180,0.96,139,0.03,293,0.01,70°C for 10 min,96.31,7/5/24,1
XPC9,90,0.21,72,0.58,199,0.21,20°C for 60 min,93.39,7/5/24,1
1R8V,23,0.81,209,0.18,160,0.01,50°C for 10 min,92.18,7/5/24,1
89Z9,144,0.91,82,0.08,63,0.01,20°C for 60 min,97.42,7/5/24,1
7H4K,156,0.72,146,0.27,51,0.01,Steaming,90.64,7/5/24,1
CKP1,112,0.08,341,0.76,88,0.16,,89.89,7/5/24,1
NRGF,158,0.12,422,0.2,69,0.68,,94.37,7/5/24,1
230B,94,0.84,252,0.06,20,0.1,50°C for 10 min,92.05,7/5/24,1
3FVX,102,0.77,334,0.22,292,0.01,,95.62,7/5/24,1
41C1,86,0.78,92,0.21,178,0.01,,94.89,7/5/24,1
GJZN,7,0.91,272,0.08,17,0.01,,94.24,7/5/24,1
OW2D,20,0.35,461,0.26,215,0.39,,92.67,7/5/24,1
LUY7,9,0.85,458,0.14,63,0.01,,97.64,7/5/24,1
EROX,132,0.48,36,0.51,28,0.01,,99.12,7/5/24,1
CBZX,65,0.2,234,0.5,151,0.3,70°C for 10 min,90.6,7/5/24,1
PUSG,98,0.77,353,0.22,111,0.01,Steaming,95.59,7/5/24,1
048L,185,0.96,310,0.03,134,0.01,Freezing for 20 min,90.59,7/5/24,1
K56Q,48,0.24,423,0.23,101,0.53,,93.45,7/5/24,1
Z9E0,81,0.93,188,0.06,230,0.01,,99.27,7/5/24,1
5JAN,154,0.45,40,0.28,166,0.27,70°C for 10 min,92.69,7/5/24,1
3WXQ,45,0.9,249,0.09,238,0.01,Steaming,92.15,7/5/24,1
P3JH,12,0.16,211,0.32,231,0.52,,90.93,7/5/24,1
ERAR,59,0.61,441,0.38,260,0.01,,65.75,7/5/24,1
D8M0,34,0.49,405,0.2,48,0.31,,94.69,7/5/24,1
XDDL,191,0.82,259,0.01,102,0.17,,93.98,7/5/24,1
KOHT,167,0.42,256,0.16,195,0.42,,68.38,7/5/24,1
3AMN,131,0.56,13,0.43,187,0.01,,93.92,7/5/24,1
BD1N,176,0.51,274,0.48,41,0.01,,64.76,7/5/24,1
CHE7,167,0.15,354,0.18,113,0.67,50°C for 10 min,92.05,7/5/24,1
DILU,41,0.41,59,0.58,289,0.01,,98.39,7/5/24,1
ND5T,181,0.7,309,0.03,120,0.27,Freezing for 20 min,91.05,7/5/24,1
IFS3,106,0.02,324,0.87,98,0.11,,96.95,7/5/24,1
9U2X,167,0.36,218,0.63,267,0.01,,95.86,7/5/24,1
WSV4,182,0.45,214,0.41,120,0.14,20°C for 60 min,99.62,7/5/24,1
BS28,66,0.81,148,0.18,182,0.01,,98.2,7/5/24,1
Q7OG,20,0.41,173,0.58,118,0.01,,70.64,7/5/24,1
PH0X,45,0.95,376,0.04,99,0.01,20°C for 60 min,91.45,7/5/24,1
IJET,86,0.43,45,0.56,216,0.01,,96.76,7/5/24,1
4GCS,167,0.92,199,0.07,161,0.01,Freezing for 20 min,96.46,7/5/24,1
UC0T,173,0.85,450,0.14,205,0.01,20°C for 60 min,98.9,7/5/24,1
FS2X,2,0.12,16,0.32,182,0.56,,91.89,7/5/24,1
L8KS,99,0.42,186,0.09,87,0.49,,96.98,7/5/24,1
FF8S,83,0.23,71,0.76,57,0.01,,98.26,7/5/24,1
KBHN,45,0.49,216,0.37,125,0.14,,94.59,7/5/24,1
V2AA,23,0.07,253,0.21,111,0.72,Steaming,92,7/5/24,1
DQNG,71,0.9,234,0.09,53,0.01,Freezing for 20 min,94.99,7/5/24,1
JV8C,194,0.64,251,0.17,282,0.19,,95.03,7/5/24,1
SBNH,68,0.95,329,0.04,10,0.01,20°C for 60 min,95.82,7/5/24,1
KS4Z,101,0.33,180,0.27,251,0.4,,91.77,7/5/24,1
WRNQ,144,0.45,226,0.54,51,0.01,,93.73,7/5/24,1
27FQ,78,0.8,314,0.19,257,0.01,,91.28,7/5/24,1
6IJF,198,0.94,163,0.05,105,0.01,,98.3,7/5/24,1
44KO,198,0.5,106,0.49,274,0.01,20°C for 60 min,98.15,7/5/24,1
N8A8,49,0.87,197,0.12,245,0.01,Steaming,97.41,7/5/24,1
MOA3,95,0.37,466,0.62,106,0.01,,99.21,7/5/24,1
AUMK,62,0.51,366,0.48,69,0.01,,81.44,7/5/24,1
XG5B,57,0.7,301,0.29,67,0.01,,97.18,7/5/24,1
JNWE,10,0.12,471,0.12,35,0.76,,27.71,7/5/24,1
8G4S,125,0.61,402,0.16,154,0.23,20°C for 60 min,98.23,7/5/24,1
4O3W,97,0.95,213,0.04,189,0.01,,95.4,7/5/24,1
WYNT,12,0.83,319,0.15,143,0.02,20°C for 60 min,75.69,7/5/24,1
KRR0,56,0.98,373,0.01,191,0.01,,99.75,7/5/24,1
W4ZT,185,0.02,286,0.57,45,0.41,20°C for 60 min,90.47,7/5/24,1
HY3I,46,0.6,353,0.39,286,0.01,,49.42,7/5/24,1
0ZHO,30,0.11,140,0.7,241,0.19,,98.44,7/5/24,1
7NCX,93,0.35,243,0.05,194,0.6,,91.03,7/5/24,1
Q340,198,0.58,144,0.41,124,0.01,,94.59,7/5/24,1
K1J2,46,0.53,262,0.46,279,0.01,,98.4,7/5/24,1
7JEU,141,0.47,256,0.48,129,0.05,,90.88,7/5/24,1
TTPF,156,0.43,222,0.1,205,0.47,,98.77,7/5/24,1
SJR9,45,0.17,363,0.57,293,0.26,,97.84,7/5/24,1
CP5M,147,0.67,308,0.26,208,0.07,50°C for 10 min,91.86,7/5/24,1
G3ID,78,0.3,472,0.69,47,0.01,,99.16,7/5/24,1
DWE1,131,0.8,31,0.19,89,0.01,,99.88,7/5/24,1
OM43,131,0.58,254,0.41,165,0.01,,96.6,7/5/24,1
6BJ0,105,0.42,210,0.39,134,0.19,70°C for 10 min,91.07,7/5/24,1
KD22,15,0.84,114,0.15,141,0.01,,97.91,7/5/24,1
4VBE,167,0.25,284,0.11,18,0.64,,97.2,7/5/24,1
HNFP,67,0.98,494,0.01,196,0.01,Freezing for 20 min,99.05,7/5/24,1
760W,41,0.29,340,0.22,270,0.49,,96.16,7/5/24,1
BZY1,11,0.04,478,0.29,57,0.67,Steaming,98.47,7/5/24,1
W4KG,120,0.86,400,0.13,287,0.01,,98.63,7/5/24,1
RAG5,143,0.89,475,0.1,23,0.01,,94.26,7/5/24,1
UKDX,5,0.88,307,0.08,32,0.04,,35.14,7/5/24,1
DSIE,99,0.37,194,0.62,272,0.01,,95.92,7/5/24,1
KV6Y,45,0.92,236,0.07,151,0.01,,93.8,7/5/24,1
TTHD,134,0.25,237,0.39,280,0.36,,66.57,7/5/24,1
T3XD,37,0.23,426,0.1,258,0.67,,93.87,7/5/24,1
169G,144,0.37,462,0.2,152,0.43,50°C for 10 min,94.47,7/5/24,1
J0SE,78,0.67,56,0.12,117,0.21,,96.59,7/5/24,1
RHPD,193,0.16,27,0.03,93,0.81,,47.47,7/5/24,1
77DS,28,0.66,37,0.33,164,0.01,,92.47,7/5/24,1
ZVTF,72,0.15,103,0.68,49,0.17,Steaming,97.18,7/5/24,1
LTOC,21,0.16,299,0.39,298,0.45,,98.63,7/5/24,1
4WI4,190,0.65,29,0.13,171,0.22,,94.99,7/5/24,1
N9XF,177,0.82,269,0.17,151,0.01,,42.49,7/5/24,1
Y2VS,50,0.71,52,0.28,215,0.01,,90.33,7/5/24,1
K32W,138,0.51,48,0.48,258,0.01,,97.88,7/5/24,1
LESM,167,0.43,209,0.56,165,0.01,,97.68,7/5/24,1
BTI6,111,0.23,144,0.72,230,0.05,Steaming,99.33,7/5/24,1
BCRB,104,0.38,401,0.61,297,0.01,70°C for 10 min,94.03,7/5/24,1
4KVT,46,0.53,466,0.28,208,0.19,70°C for 10 min,96.45,7/5/24,1
2JCP,16,0.09,115,0.3,219,0.61,Freezing for 20 min,96.67,7/5/24,1
IIW6,182,0.61,482,0.38,36,0.01,Steaming,30.75,7/5/24,1
LUHS,183,0.85,432,0.14,226,0.01,,99.81,7/5/24,1
MN22,131,0.87,411,0.12,34,0.01,,90.77,7/5/24,1
HCQ0,72,0.76,300,0.23,169,0.01,,99.46,7/5/24,1
HT3V,74,0.63,250,0.31,296,0.06,,94.5,7/5/24,1
Z192,146,0.37,23,0.57,231,0.06,,97.41,7/5/24,1
XB8U,182,0.68,14,0.31,246,0.01,Freezing for 20 min,96.08,7/5/24,1
HEL9,180,0.3,74,0.07,89,0.63,,98.28,7/5/24,1
YKYY,161,0.11,194,0.52,286,0.37,Freezing for 20 min,93,7/5/24,1
NUA5,133,0.93,264,0.06,54,0.01,,94.72,7/5/24,1
SHO1,14,0.07,488,0.88,40,0.05,70°C for 10 min,91.92,7/5/24,1
NQMJ,34,0.68,14,0.14,169,0.18,,90.65,7/5/24,1
U52H,183,0.96,94,0.03,169,0.01,,95.52,7/5/24,1
AAJE,124,0.75,49,0.24,267,0.01,,86.79,7/5/24,1
PO6D,3,0.56,387,0.43,149,0.01,,92.23,7/5/24,1
O9X9,18,0.04,55,0.45,242,0.51,,94.38,7/5/24,1
6ZB7,139,0.09,44,0.37,67,0.54,70°C for 10 min,99.93,7/5/24,1
JTHH,2,0.96,241,0.03,130,0.01,50°C for 10 min,93.6,7/5/24,1
TTAP,34,0.08,79,0.41,47,0.51,20°C for 60 min,98.63,7/5/24,1
7YK6,109,0.73,364,0.26,118,0.01,20°C for 60 min,55.23,7/5/24,1
E06K,144,0.45,492,0.13,41,0.42,,93.81,7/5/24,1
IZ5E,136,0.02,395,0.76,236,0.22,50°C for 10 min,95.89,7/5/24,1
K2FZ,45,0.01,262,0.13,82,0.86,,94.62,7/5/24,1
29SN,144,0.4,198,0.27,214,0.33,,93.98,7/5/24,1
ITIR,45,0.46,86,0.45,233,0.09,,47.92,7/5/24,1
R61V,68,0.73,225,0.16,278,0.11,,94.01,7/5/24,1
S0JF,152,0.69,63,0.3,65,0.01,,95.68,7/5/24,1
25FX,135,0.41,362,0.31,161,0.28,,90.19,7/5/24,1
JL5Z,170,0.43,389,0.09,185,0.48,,93.72,7/5/24,1
Q5W1,137,0.43,44,0.02,114,0.55,Freezing for 20 min,92.57,7/5/24,1
3LMQ,114,0.23,353,0.17,40,0.6,,97.06,7/5/24,1
60CW,16,0.97,365,0.02,90,0.01,Steaming,93.88,7/5/24,1
WR3W,78,0.41,438,0.58,292,0.01,,92.61,7/5/24,1
AH5X,52,0.41,344,0.48,139,0.11,,98.44,7/5/24,1
W6ZF,47,0.44,109,0.08,32,0.48,,66.88,7/5/24,1
RYAB,198,0.04,149,0.76,89,0.2,20°C for 60 min,95.97,7/5/24,1
D158,78,0.56,121,0.43,71,0.01,,97.87,7/5/24,1
EP0B,181,0.79,223,0.08,30,0.13,,95.42,7/5/24,1
JTWL,130,0.65,320,0.18,160,0.17,,96.84,7/5/24,1
34QC,165,0.65,45,0.07,228,0.28,,92.33,7/5/24,1
2DJ7,97,0.72,212,0.27,198,0.01,,90.13,7/5/24,1
JNXU,116,0.75,498,0.24,200,0.01,Freezing for 20 min,97.25,7/5/24,1
5MAB,94,0.73,356,0.13,100,0.14,,96.76,7/5/24,1
T7DR,43,0.77,240,0.22,80,0.01,,96.49,7/5/24,1
EIW2,146,0.81,375,0.18,248,0.01,70°C for 10 min,97.94,7/5/24,1
2Q7K,56,0.84,186,0.15,214,0.01,,90.8,7/5/24,1
CJ4S,7,0.44,410,0.55,178,0.01,50°C for 10 min,92.13,7/5/24,1
FXBD,134,0.43,252,0.4,101,0.17,,99.61,7/5/24,1
LJZ2,38,0.15,348,0.48,250,0.37,,98.14,7/5/24,1
9Z93,194,0.54,116,0.45,78,0.01,,95.75,7/5/24,1
7465,197,0.42,162,0.57,161,0.01,,93.97,7/5/24,1
XJ3P,187,0.68,52,0.31,78,0.01,70°C for 10 min,96.67,7/5/24,1
SWFO,78,0.94,39,0.01,276,0.05,,90.22,7/5/24,1
NF20,5,0.73,148,0.26,206,0.01,20°C for 60 min,90.9,7/5/24,1
Y2Y7,191,0.68,345,0.31,92,0.01,Steaming,95.65,7/5/24,1
KOT1,86,0.82,54,0.11,27,0.07,,93.45,7/5/24,1
L9J9,198,0.89,135,0.1,77,0.01,,93.35,7/5/24,1
92EH,198,0.4,139,0.41,212,0.19,,95.09,7/5/24,1
VSXB,171,0.75,37,0.24,174,0.01,,93.9,7/5/24,1
JL2Q,60,0.7,297,0.29,31,0.01,Steaming,97.41,7/5/24,1
4HVX,78,0.09,75,0.51,297,0.4,70°C for 10 min,98.26,7/5/24,1
H72U,170,0.59,467,0.4,205,0.01,,98.08,7/5/24,1
ZH00,66,0.76,112,0.12,7,0.12,,98.17,7/5/24,1
SG2I,36,0.28,427,0.71,271,0.01,,93.73,7/5/24,1
0961,111,0.9,64,0.09,147,0.01,,99.05,7/5/24,1
OVGM,193,0.85,95,0.14,159,0.01,70°C for 10 min,21.83,7/5/24,1
CQ25,144,0.72,202,0.27,289,0.01,20°C for 60 min,91.53,7/5/24,1
E5LO,114,0.46,102,0.4,126,0.14,,93.38,7/5/24,1
3FK1,17,0.5,95,0.37,231,0.13,Steaming,98.62,7/5/24,1
8PJQ,126,0.73,427,0.06,266,0.21,,96.62,7/5/24,1
UFRB,198,0.94,439,0.05,299,0.01,,48.01,7/5/24,1
KOOS,28,0.31,53,0.29,165,0.4,,98.64,7/5/24,1
QXDE,101,0.09,148,0.53,117,0.38,,39.61,7/5/24,1
XKDT,177,0.55,96,0.44,10,0.01,,90.91,7/5/24,1
UXCN,150,0.21,235,0.78,110,0.01,70°C for 10 min,96.13,7/5/24,1
7G1F,144,0.71,115,0.28,111,0.01,,92.07,7/5/24,1
0P6Q,144,0.23,175,0.22,32,0.55,,93.65,7/5/24,1
XXJ6,77,0.17,23,0.31,103,0.52,,95.51,7/5/24,1
4TGF,60,0.5,410,0.38,119,0.12,,98.3,7/5/24,1
JZ5G,167,0.17,257,0.19,235,0.64,,90.43,7/5/24,1
MG39,167,0.41,308,0.58,41,0.01,,97.32,7/5/24,1
BEJ2,175,0.82,249,0.17,69,0.01,,95.89,7/5/24,1
RTL7,187,0.48,36,0.51,93,0.01,,96.59,7/5/24,1
ZW4X,99,0.38,376,0.37,272,0.25,,35.66,7/5/24,1
9OV1,96,0.51,198,0.38,49,0.11,,97.74,7/5/24,1
DSTA,165,0.53,322,0.05,158,0.42,,92.14,7/5/24,1
UI0X,135,0.71,107,0.28,98,0.01,70°C for 10 min,40.6,7/5/24,1
Y44A,144,0.33,63,0.17,253,0.5,Freezing for 20 min,93.98,7/5/24,1
1DVM,165,0.78,486,0.08,130,0.14,,93.92,7/5/24,1
LQO2,181,0.57,433,0.42,239,0.01,,93.52,7/5/24,1
KZIF,71,0.96,286,0.03,83,0.01,,93.79,7/5/24,1
UFRL,78,0.13,248,0.84,185,0.03,,90.4,7/5/24,1
VTQW,16,0.81,428,0.18,195,0.01,,98.99,7/5/24,1
VN21,117,0.84,274,0.09,10,0.07,,90.47,7/5/24,1
WN6P,10,0.14,433,0.85,47,0.01,,90.5,7/5/24,1
NNMB,90,0.32,418,0.64,10,0.04,,93.23,7/5/24,1
MAA0,107,0.21,429,0.02,220,0.77,,95.45,7/5/24,1
QOL4,58,0.05,310,0.35,208,0.6,,94.65,7/5/24,1
S5YU,120,0.38,470,0.61,161,0.01,,92.61,7/5/24,1
ZOBR,9,0.4,483,0.08,281,0.52,,93.5,7/5/24,1
3DNS,10,0.81,71,0.18,217,0.01,,92.27,7/5/24,1
L3TD,167,0.54,142,0.45,33,0.01,20°C for 60 min,90.41,7/5/24,1
W7U7,77,0.34,341,0.65,60,0.01,,90.75,7/5/24,1
72HF,25,0.96,153,0.03,243,0.01,,91.94,7/5/24,1
KWU3,102,0.45,86,0.16,213,0.39,,90.68,7/5/24,1
H7J9,158,0.96,187,0.03,219,0.01,,92.33,7/5/24,1
B2EV,45,0.14,163,0.22,183,0.64,,99.68,7/5/24,1
42TD,128,0.52,148,0.47,190,0.01,,90.36,7/5/24,1
45SQ,14,0.96,489,0.03,191,0.01,,96.61,7/5/24,1
DVK5,12,0.35,105,0.64,35,0.01,,78.95,7/5/24,1
G9Y8,104,0.52,285,0.26,191,0.22,,97.78,7/5/24,1
XDMK,107,0.42,220,0.57,98,0.01,Steaming,90.36,7/5/24,1
QBVY,132,0.48,5,0.51,84,0.01,,39.3,7/5/24,1
GQY7,146,0.62,70,0.37,217,0.01,,92.61,7/5/24,1
B419,198,0.16,116,0.04,34,0.8,,99.19,7/5/24,1
YXQW,100,0.42,80,0.57,28,0.01,Steaming,96.59,7/5/24,1
3KSU,67,0.95,178,0.04,59,0.01,,32.12,7/5/24,1
TTLB,165,0.47,135,0.52,206,0.01,,95.4,7/5/24,1
FI4W,54,0.1,122,0.54,57,0.36,,92.21,7/5/24,1
V6IJ,89,0.04,323,0.73,171,0.23,70°C for 10 min,98.23,7/5/24,1
380N,12,0.93,247,0.06,211,0.01,,90.21,7/5/24,1
DJ8Q,7,0.32,477,0.46,136,0.22,,94.82,7/5/24,1
DA9C,198,0.88,190,0.11,57,0.01,50°C for 10 min,95.73,7/5/24,1
HPUC,167,0.65,198,0.34,4,0.01,,97.25,7/5/24,1
LHSX,144,0.17,259,0.82,175,0.01,,80.34,7/5/24,1
7SQM,81,0.15,258,0.84,231,0.01,20°C for 60 min,98.11,7/5/24,1
DV5I,37,0.4,392,0.11,173,0.49,,95.88,7/5/24,1
80AX,33,0.05,318,0.53,104,0.42,,97.31,7/5/24,1
XFRI,48,0.35,238,0.64,201,0.01,20°C for 60 min,94.82,7/5/24,1
VXDT,109,0.6,384,0.28,295,0.12,,96.66,7/5/24,1
QR1O,144,0.63,407,0.36,15,0.01,,96.95,7/5/24,1
77XQ,138,0.38,452,0.61,208,0.01,,48.96,7/5/24,1
ZF2T,56,0.19,177,0.52,261,0.29,50°C for 10 min,95.46,7/5/24,1
FQLY,198,0.92,474,0.07,71,0.01,Freezing for 20 min,98.49,7/5/24,1
WPTN,150,0.1,317,0.89,3,0.01,Freezing for 20 min,98.54,7/5/24,1
C8PU,110,0.77,2,0.19,166,0.04,,31.73,7/5/24,1
OEEM,125,0.93,156,0.06,175,0.01,50°C for 10 min,98.72,7/5/24,1
CURY,84,0.65,375,0.19,184,0.16,20°C for 60 min,99.34,7/5/24,1
WNEC,48,0.07,346,0.63,251,0.3,,96.64,7/5/24,1
0PXA,76,0.24,441,0.38,233,0.38,,96.78,7/5/24,1
FK3U,155,0.22,153,0.77,242,0.01,,92.48,7/5/24,1
WEF1,4,0.61,486,0.38,50,0.01,,97.54,7/5/24,1
C94U,22,0.75,402,0.11,5,0.14,,91.87,7/5/24,1
M7B0,12,0.62,338,0.37,227,0.01,,95.1,7/5/24,1
4OT6,11,0.67,342,0.32,270,0.01,,95.15,7/5/24,1
IGUM,171,0.59,201,0.26,283,0.15,50°C for 10 min,96.48,7/5/24,1
V1RN,144,0.92,113,0.07,124,0.01,,74.89,7/5/24,1
0I26,90,0.02,255,0.44,216,0.54,50°C for 10 min,56.18,7/5/24,1
EISS,17,0.07,98,0.84,88,0.09,,90.65,7/5/24,1
SMBU,94,0.65,332,0.04,147,0.31,,92.33,7/5/24,1
MGHH,90,0.95,261,0.04,155,0.01,,95.7,7/5/24,1
TTGO,37,0.35,52,0.28,69,0.37,,98.9,7/5/24,1
J1V4,88,0.95,337,0.04,168,0.01,,92.41,7/5/24,1
JZB5,78,0.55,150,0.32,31,0.13,20°C for 60 min,90.05,7/5/24,1
ZTZ4,126,0.07,64,0.49,194,0.44,,98.58,7/5/24,1
G5VA,132,0.39,488,0.48,48,0.13,,92.17,7/5/24,1
EKY4,12,0.04,373,0.78,278,0.18,20°C for 60 min,80.98,7/5/24,1
RP9D,78,0.42,309,0.28,160,0.3,,95.48,7/5/24,1
YEL2,129,0.64,27,0.35,95,0.01,,91.96,7/5/24,1
BG3G,97,0.56,198,0.25,117,0.19,,97,7/5/24,1
ATOI,172,0.36,308,0.44,119,0.2,50°C for 10 min,92.99,7/5/24,1
3OHU,138,0.87,109,0.12,8,0.01,50°C for 10 min,93.44,7/5/24,1
E4EM,34,0.47,118,0.28,89,0.25,,97.49,7/5/24,1
1TLW,12,0.97,255,0.02,210,0.01,,94.65,7/5/24,1
6D5V,133,0.33,13,0.14,227,0.53,20°C for 60 min,93.05,7/5/24,1
RZJB,7,0.69,413,0.14,85,0.17,,25.11,7/5/24,1
9O6G,119,0.23,202,0.23,197,0.54,,90.51,7/5/24,1
HM5T,194,0.56,78,0.43,143,0.01,Freezing for 20 min,97.2,7/5/24,1
H85L,116,0.55,494,0.44,197,0.01,20°C for 60 min,92,7/5/24,1
20FJ,78,0.39,30,0.02,251,0.59,,93.28,7/5/24,1
D455,134,0.19,50,0.04,24,0.77,Freezing for 20 min,97.13,7/5/24,1
